Timestamp,Node Name,Date,Time,Day of the week,subscriber_count,Total_PCMD,Spectral1,Spectral2,KMeans,AgglomerativeClustering,SpectralClustering,GaussianMixture
15-04-2024 13:14,AMF-INFRA,15-04-2024,13:14:28,Monday,1,7,-0.038554845984905384,-0.024920723444148484,Trivial,Major,Trivial,Trivial
15-04-2024 13:14,AMF-SLAB-BLR,15-04-2024,13:14:28,Monday,7,0,-0.004621794237821984,-0.0817313629263705,Major,Major,Major,Major
15-04-2024 13:14,AMF-GUMPERT-SRN-BLR,15-04-2024,13:14:28,Monday,0,0,-0.06314132890584705,0.028343589669791624,Trivial,Trivial,Trivial,Trivial
15-04-2024 13:14,TC4-CMM-BILLA-SRN-BLR,15-04-2024,13:14:28,Monday,105,2731,0.06828816268375926,0.0616745874813986,Blocker,Blocker,Blocker,Blocker
15-04-2024 13:14,cMM_AMF-Blackbird-SRN-BLR,15-04-2024,13:14:28,Monday,0,0,-0.059238700219344256,0.01923508998476731,Trivial,Trivial,Trivial,Trivial
15-04-2024 13:14,CMM-INOX,15-04-2024,13:14:28,Monday,12,38,0.022695528389658572,-0.08217408644015013,Major,Major,Major,Critical
15-04-2024 13:14,CMM-SLAB-SRN-BLR,15-04-2024,13:14:28,Monday,9,40,0.016557221263209878,-0.08515261277358618,Major,Major,Major,Major
15-04-2024 13:14,TC4-CMM-DOLLY-SRN-BLR,15-04-2024,13:14:28,Monday,54,36,0.03352303379221671,-0.05801608631702936,Major,Major,Major,Critical
15-04-2024 13:14,AMF-KODIAQ-SRN-BLR,15-04-2024,13:14:28,Monday,228,747,0.060685937654635584,0.02855506544770676,Critical,Critical,Blocker,Critical
15-04-2024 13:14,TCMM-Nexon-SRN-BLR,15-04-2024,07:44:28,Monday,2,44,-0.013990565758192982,-0.046430995059008086,Major,Major,Major,Major
15-04-2024 13:14,CMM-LOKI-NCS,15-04-2024,10:44:31,Monday,0,0,-0.0592387002193443,0.01923508998476731,Trivial,Trivial,Trivial,Trivial
15-04-2024 13:14,NSA-06-CMM,15-04-2024,10:44:31,Monday,9,20,0.012630636812331777,-0.09258203295930313,Major,Major,Major,Major
15-04-2024 13:14,AMF-03-B,15-04-2024,10:44:31,Monday,0,0,-0.061312607499375324,0.02425594260565008,Trivial,Trivial,Trivial,Trivial
15-04-2024 13:14,AMF-SA-05,15-04-2024,10:44:30,Monday,11,32,0.016557221263209836,-0.08515261277358618,Major,Major,Major,Major
15-04-2024 13:14,CMM-NSA-04,15-04-2024,10:44:31,Monday,24,590,0.047205656241477004,-0.012423968123355772,Critical,Critical,Critical,Critical
15-04-2024 13:14,AMF3,15-04-2024,10:44:31,Monday,301,4804,0.06810827761808423,0.06100565069577019,Blocker,Blocker,Blocker,Blocker
15-04-2024 13:14,AMF-SA-07,15-04-2024,10:44:31,Monday,16,15,0.02294275038166212,-0.0810354672844408,Major,Major,Major,Critical
15-04-2024 13:14,CMM-JOKI-RACK1,15-04-2024,10:44:31,Monday,37543,3313024,0.07403488035219336,0.09124168506555114,Blocker,Blocker,Blocker,Blocker
15-04-2024 13:14,cmm-apple-187,15-04-2024,10:44:31,Monday,18,305,0.04229675383066327,-0.021955198193218468,Critical,Critical,Critical,Critical
15-04-2024 13:14,CMM1,15-04-2024,10:44:31,Monday,94,207,0.048410960749417385,-0.02119085966073142,Critical,Critical,Critical,Critical
15-04-2024 13:14,CMM-12-SRN-OULU,15-04-2024,10:44:31,Monday,42851,1586912,0.0717747360994566,0.07786654093015781,Blocker,Blocker,Blocker,Blocker
15-04-2024 13:14,CMM3 TA,15-04-2024,10:44:34,Monday,670,28939,0.06844000211519685,0.06369171311294756,Blocker,Blocker,Blocker,Blocker
15-04-2024 13:14,CMM-01-B-SRN-ESPOO,15-04-2024,10:44:31,Monday,0,0,-0.06314946718337862,0.027734811054990136,Trivial,Trivial,Trivial,Trivial
15-04-2024 13:14,CMM03-B-SRN-Espoo,15-04-2024,10:44:31,Monday,0,0,-0.06290629024193779,0.028349280007520374,Trivial,Trivial,Trivial,Trivial
15-04-2024 13:14,CMM-LEO,15-04-2024,10:44:30,Monday,20,88,0.025747159505138048,-0.07029758978237503,Major,Major,Major,Critical
15-04-2024 13:14,CMM-VIVAN-NCS,15-04-2024,10:44:31,Monday,1,0,-0.048768408734973664,-0.0072935061742869485,Trivial,Major,Trivial,Trivial
15-04-2024 13:14,CMM-PETUNIA-SRN-ESPOO,15-04-2024,10:44:30,Monday,0,0,-0.0670260671559843,0.0368945826747996,Trivial,Trivial,Trivial,Trivial
15-04-2024 13:14,CMM-JERRY-NCS,15-04-2024,10:44:31,Monday,0,0,-0.06702606715598435,0.036894582674799614,Trivial,Trivial,Trivial,Trivial
15-04-2024 13:14,CMM-STINGRAY-SRN-ESPOO,15-04-2024,10:44:30,Monday,0,0,-0.06890735051346171,0.04236046457331439,Trivial,Trivial,Trivial,Trivial
15-04-2024 13:14,CMM-JACK-SRN-ESPOO,15-04-2024,10:44:34,Monday,4,1,-0.019659108644527617,-0.05766507642731891,Major,Major,Major,Major
15-04-2024 13:14,CMM-SPARROW,15-04-2024,10:44:31,Monday,57,914,0.05561028453924078,0.010156380060136737,Critical,Critical,Critical,Critical
15-04-2024 13:14,AMF NALA,15-04-2024,10:44:30,Monday,352,1604,0.06629804073136338,0.05257674725271525,Blocker,Blocker,Blocker,Blocker
15-04-2024 13:14,CMM-JAMES-SRN-ESPOO,15-04-2024,10:44:31,Monday,0,0,-0.06890735051346172,0.04236046457331436,Trivial,Trivial,Trivial,Trivial
